rule_number,lhs,rhs,confidence,lift,leverage,conviction
3523,"['100=100_1', '30=30_0']","['96+=96+_1', '142=142_0']",0.84,0.97,-0.01,0.85
3581,"['30=30_0', '121=121_0', '133=133_0']",['96+=96+_1'],0.84,0.97,-0.01,0.84
3582,"['30=30_0', '121=121_0', '133=133_0', '142=142_0']",['96+=96+_1'],0.84,0.97,-0.01,0.84
3583,"['30=30_0', '121=121_0', '133=133_0']","['96+=96+_1', '142=142_0']",0.84,0.97,-0.01,0.84
3626,['169=169_1'],['96+=96+_1'],0.84,0.97,-0.01,0.84
3627,"['142=142_0', '169=169_1']",['96+=96+_1'],0.84,0.97,-0.01,0.84
3628,['169=169_1'],"['96+=96+_1', '142=142_0']",0.84,0.97,-0.01,0.84
3692,['122=122_2'],['varRta=varRta_M'],0.83,1.65,0.13,2.97
3693,"['122=122_2', '142=142_0']",['varRta=varRta_M'],0.83,1.65,0.13,2.97
3694,['122=122_2'],"['varRta=varRta_M', '142=142_0']",0.83,1.65,0.13,2.97
3683,"['varRta=varRta_M', '30=30_0']",['96+=96+_1'],0.83,0.97,-0.01,0.82
3684,"['varRta=varRta_M', '30=30_0', '142=142_0']",['96+=96+_1'],0.83,0.97,-0.01,0.82
3685,"['varRta=varRta_M', '30=30_0']","['96+=96+_1', '142=142_0']",0.83,0.97,-0.01,0.82
4812,"['101=101_0', '120=120_0']",['97+=97+_1'],0.81,0.99,-0.0,0.96
4813,"['101=101_0', '120=120_0', '142=142_0']",['97+=97+_1'],0.81,0.99,-0.0,0.96
4814,"['101=101_0', '120=120_0']","['97+=97+_1', '142=142_0']",0.81,0.99,-0.0,0.96
4818,"['100=100_0', '120=120_0']",['97+=97+_1'],0.81,0.99,-0.0,0.96
4823,"['100=100_0', '120=120_0', '142=142_0']",['97+=97+_1'],0.81,0.99,-0.0,0.96
4824,"['100=100_0', '120=120_0']","['97+=97+_1', '142=142_0']",0.81,0.99,-0.0,0.96
4893,"['102=102_0', '121=121_0']",['97+=97+_1'],0.81,0.99,-0.0,0.95
4894,"['102=102_0', '121=121_0', '142=142_0']",['97+=97+_1'],0.81,0.99,-0.0,0.95
4895,"['102=102_0', '121=121_0']","['97+=97+_1', '142=142_0']",0.81,0.99,-0.0,0.95
4917,"['121=121_0', '124=124_0']",['97+=97+_1'],0.81,0.99,-0.01,0.95
4918,"['121=121_0', '124=124_0', '142=142_0']",['97+=97+_1'],0.81,0.99,-0.01,0.95
4919,"['121=121_0', '124=124_0']","['97+=97+_1', '142=142_0']",0.81,0.99,-0.01,0.95
5130,"['100=100_1', '30=30_0']",['97+=97+_1'],0.8,0.98,-0.01,0.93
5131,"['100=100_1', '30=30_0', '142=142_0']",['97+=97+_1'],0.8,0.98,-0.01,0.93
5132,"['100=100_1', '30=30_0']","['97+=97+_1', '142=142_0']",0.8,0.98,-0.01,0.93
5151,['101=101_0'],['97+=97+_1'],0.8,0.98,-0.01,0.93
